,nct_id,smiless_first,block_desc,PCA1,PCA2
32,NCT02009488,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,"Endocrine, nutritional and metabolic diseases",-0.7123524433941777,-0.42797811835018557
33,NCT02013128,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,others,-0.15042436558774777,0.3104148982367941
34,NCT02013362,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,"Injury, poisoning and certain other consequences of external causes",-1.229959554780845,-0.38751718849779543
35,NCT02018523,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,Neoplasms,0.014733062800756208,0.3566230614518384
36,NCT02023424,CC(O)=O,Mental and behavioural disorders,-1.2563887864565872,-1.077678398590088
37,NCT02030483,[Na+].CC([O-])=O,others,-1.2331430014327576,-1.106517680481649
38,NCT02034071,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Other,5.463519278873624,-0.21983167166465592
39,NCT02034292,N[C@@H](CCCNC(N)=N)C(O)=O,Diseases of the circulatory system,-1.1721690204145794,-1.3030337442824906
40,NCT02037165,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Factors influencing health status and contact with health services,5.463519278873624,-0.21983167166465592
41,NCT02037230,CN1CCN(CC1)C1=CC=C(NC2=NC=C3C(=O)N(CC=C)N(C3=N2)C2=NC(=CC=C2)C(C)(C)O)C=C1,Neoplasms,-0.553691679100093,0.22126840565926328
42,NCT02040870,CC(C)OC1=C(NC2=NC=C(Cl)C(N2)=NC2=CC=CC=C2S(=O)(=O)C(C)C)C=C(C)C(=C1)C1CCNCC1,others,-0.8306969502130581,0.2738782362636044
43,NCT02041481,CN1C=NC2=C(F)C(NC3=CC=C(Br)C=C3F)=C(C=C12)C(=O)NOCCO,Neoplasms,-1.0215913594369155,-0.14579327422544014
44,NCT02043860,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,others,-1.1414164356351295,-0.9401961069312665
45,NCT02044796,[Mg++].[Cl-].[Cl-],Neoplasms,-1.089779202129119,-1.5564222761551323
46,NCT02047149,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,others,-0.38091039246649167,0.14321121156230038
47,NCT02049385,CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2,Other,-0.9769110373802218,-0.7304958896337671
48,NCT02050815,CN1C=NC2=C(F)C(NC3=CC=C(Br)C=C3F)=C(C=C12)C(=O)NOCCO,Factors influencing health status and contact with health services,-1.0215913594369155,-0.14579327422544014
49,NCT02052739,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O,Diseases of the nervous system,-1.0824232946059291,-0.20942957458654285
50,NCT02054442,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Neoplasms,-1.0624285315788264,0.5258251013530412
51,NCT02055690,ClCCN(CCCl)P1(=O)NCCCO1,Neoplasms,-1.098500051706053,-1.981432611503475
52,NCT02055924,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,"Injury, poisoning and certain other consequences of external causes",-0.15042436558774777,0.3104148982367941
53,NCT02056756,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,others,-0.2606291716645037,0.7137552232980406
54,NCT02057770,CS(=O)(=O)OCCCCOS(C)(=O)=O,others,-1.094562502549867,-1.1364946826627083
55,NCT02058407,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the respiratory system,5.463519278873624,-0.21983167166465592
56,NCT02059967,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,Neoplasms,-1.0097449145204347,2.6299997068830887
57,NCT02060253,CC(C)C1=CC(C2=NN=C(O)N2C2=CC=C3N(C)C=CC3=C2)=C(O)C=C1O,others,-0.9595689666624017,-0.4720220067925786
58,NCT02061449,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,"Injury, poisoning and certain other consequences of external causes",-0.7775279445297403,-0.14494272498998786
59,NCT02064608,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,others,-1.0097449145204347,2.6299997068830887
60,NCT02065466,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C,Neoplasms,-1.0227509021971464,1.663304147003489
61,NCT02069119,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the circulatory system,5.463519278873624,-0.21983167166465592
62,NCT02070406,ClCCN(CCCl)P1(=O)NCCCO1,Diseases of the eye and adnexia,-1.098500051706053,-1.981432611503475
63,NCT02071537,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,Neoplasms,-1.116404269814943,-0.5868673480520452
64,NCT02073123,CN1C=C(C[C@@H](N)C(O)=O)C2=CC=CC=C12,Neoplasms,-0.4503949663773949,-0.0711922551603139
65,NCT02074839,[H][C@@](N(C(=O)[C@]1([H])CCC(=O)N1C1=NC=CC(=C1)C#N)C1=CC(F)=CN=C1)(C(=O)NC1CC(F)(F)C1)C1=C(Cl)C=CC=C1,Neoplasms,-0.26544474206542445,0.2747607087065278
66,NCT02074878,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,others,-0.807819337662826,-0.05049118082735927
67,NCT02077881,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C,Neoplasms,-1.0227509021971464,1.663304147003489
68,NCT02078089,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,Neoplasms,-0.9981369923498389,-0.7638715246790129
69,NCT02078310,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C,Diseases of the nervous system,-0.2881799688242531,0.2598817497761346
70,NCT02078960,[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H],others,-0.4156951888064377,0.8744368161761328
71,NCT02079844,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,Mental and behavioural disorders,-1.0336255682424482,-0.17397225618941853
72,NCT02079870,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CC[C@@H](NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)C(C)(C)NC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O,"Endocrine, nutritional and metabolic diseases",-0.6421106740881106,1.093145162757352
73,NCT02080195,ClCCN(CCCl)P1(=O)NCCCO1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,-1.098500051706053,-1.981432611503475
74,NCT02080416,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,"Injury, poisoning and certain other consequences of external causes",-0.5280633419511168,0.3565380644957837
75,NCT02083926,CC1=CC(O)=CC(C)=C1Cl,Mental and behavioural disorders,-1.1191640773455704,-1.086234304785475
76,NCT02086513,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,-1.0109676125214286,0.20589956637786505
77,NCT02096042,N[C@@H](CCCNC(N)=N)C(O)=O,others,-1.1721690204145794,-1.3030337442824906
78,NCT02096601,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,Diseases of the nervous system,-1.0923729694233792,-0.6193943150304424
79,NCT02098629,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,Diseases of the circulatory system,0.047483440521689534,-0.6256557758068988
80,NCT02100657,[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@@H](OC(=O)C[C@H](O)[C@]([H])(NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]1CCCN1C(=O)C(C)=O)[C@@H](C)OC(=O)[C@H](CC1=CC=C(OC)C=C1)N(C)C2=O)[C@@H](C)CC)C(C)C,others,-0.25004421433094254,1.384948781527116
81,NCT02100852,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,others,-1.193397168390926,-1.0420403764872617
82,NCT02103335,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,others,-1.0706663976917161,0.8565290614636054
83,NCT02106897,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the musculoskeletal system and connective tissue,5.463519278873624,-0.21983167166465592
84,NCT02109224,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,others,-0.15042436558774777,0.3104148982367941
85,NCT02109341,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,Neoplasms,-1.0097449145204347,2.6299997068830887
86,NCT02109627,ClCCN(CCCl)P1(=O)NCCCO1,others,-1.098500051706053,-1.981432611503475
87,NCT02111551,[H]\C(=C1\CCCN=C1C1=CN=CC=C1)C1=C(OC)C=C(OC)C=C1,Factors influencing health status and contact with health services,-0.8558820290613556,-0.018909476291749126
88,NCT02112799,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Certain infectious and parasitic diseases,5.463519278873624,-0.21983167166465592
89,NCT02116010,CNC[C@H](O)C1=CC(O)=C(O)C=C1,"Pregnancy, childbirth and the puerperium",-1.0899032941931768,-0.7639191962018892
90,NCT02116959,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O,"Injury, poisoning and certain other consequences of external causes",-1.1414164356351295,-0.9401961069312665
91,NCT02120339,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,Diseases of the circulatory system,-1.2719994746204055,0.7861854592499773
92,NCT02121483,CN(C)C(=N)NC(N)=N,"Endocrine, nutritional and metabolic diseases",-1.2260382379337513,-1.4162108048163222
93,NCT02121756,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,Factors influencing health status and contact with health services,-0.5293389870350746,-0.8199117177954633
94,NCT02121860,C[C@H](NC(=O)C(=O)NC1=CC=CC=C1C(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)COC1=C(F)C(F)=CC(F)=C1F,Factors influencing health status and contact with health services,-0.9381007332364906,0.001185638667401379
95,NCT02123823,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,Neoplasms,-1.0097449145204347,2.6299997068830887
96,NCT02128217,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@](C)(F)[C@@H]1O)OC1=CC=CC=C1,Certain infectious and parasitic diseases,-0.7855951951559278,0.7065343665556114
97,NCT02129439,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the digestive system,5.463519278873624,-0.21983167166465592
98,NCT02131298,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,Factors influencing health status and contact with health services,-0.5442417942643557,0.5181802199246731
99,NCT02134314,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the genitourinary system,5.463519278873624,-0.21983167166465592
100,NCT02134886,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,Factors influencing health status and contact with health services,-0.8432645667411695,-0.13236164327527103
101,NCT02135640,CC(=O)OC1=CC=CC=C1C(O)=O,Diseases of the musculoskeletal system and connective tissue,-1.0172985751441477,-0.11077650947797421
102,NCT02136342,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,Other,-1.1580310920054773,0.21114720669786677
103,NCT02137642,NC(=O)C1(CCNCC1)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@@H](CC1=CSC2=CC=CC=C12)NC(=O)C1CCNCC1,Diseases of the digestive system,-0.3400852016172732,0.8699173826966616
104,NCT02138383,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,Neoplasms,-0.17425997948291258,0.11791822101175722
105,NCT02138526,ClCCN(CCCl)P1(=O)NCCCO1,Neoplasms,-1.098500051706053,-1.981432611503475
106,NCT02141477,[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H],others,-0.4156951888064377,0.8744368161761328
107,NCT02141828,[H][C@]1(CCC2=NC3=C(N2)C=C(C=C3)C(C)(C)C)C[C@]([H])(C1)N(C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(C)C,others,-1.1176663638593616,0.15401458070727223
108,NCT02142777,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the nervous system,5.463519278873624,-0.21983167166465592
109,NCT02142803,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2OC(N)=NC2=C1,Neoplasms,-0.757527890205549,-0.6457838740448335
110,NCT02145559,CN(C)C(=N)NC(N)=N,others,-1.2260382379337513,-1.4162108048163222
111,NCT02153437,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,Diseases of the circulatory system,-1.0852212566715975,-0.6112957370411122
112,NCT02153905,ClCCN(CCCl)P1(=O)NCCCO1,others,-1.098500051706053,-1.981432611503475
113,NCT02154646,CC1=CC=CC(=N1)C1=NN2CCCC2=C1C1=C2C=C(C=CC2=NC=C1)C(N)=O,Neoplasms,-0.6162447101781925,0.34337394039382796
114,NCT02154776,CN(C)C(=O)C1=CC2=CN=C(NC3=CC=C(C=N3)N3CCNCC3)N=C2N1C1CCCC1,others,-0.5542046694665503,0.24401044241931902
115,NCT02155088,[H][C@]1(CCCN1C(O)=NC1=NC(C)=C(S1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F)C(O)=N,Neoplasms,-0.47335879095033695,-0.15067623602427424
116,NCT02155465,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,others,0.03834737768289676,-0.31678294911357047
117,NCT02155582,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,"Injury, poisoning and certain other consequences of external causes",-0.8692125246138909,0.3888538221898402
118,NCT02156466,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the skin and subcutaneous tissue,5.463519278873624,-0.21983167166465592
119,NCT02158091,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1,others,-0.6970588583145295,-0.2623910186947895
120,NCT02160015,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1,Certain infectious and parasitic diseases,-0.15042436558774777,0.3104148982367941
121,NCT02164240,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,others,-0.807819337662826,-0.05049118082735927
122,NCT02166229,CCCC(CCC)C(O)=O,Diseases of the skin and subcutaneous tissue,-1.1703638651849273,-0.9711725350587818
123,NCT02168270,CSCC[C@H](N)C(O)=O,others,-1.0874016985677042,-1.0708973017397303
124,NCT02168907,OC(=O)CCCCC(CCSCC1=CC=CC=C1)SCC1=CC=CC=C1,others,-0.7627679569960001,-0.5919066545294669
125,NCT02174822,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,Factors influencing health status and contact with health services,-0.5106899839860121,-0.2917997169789677
126,NCT02176486,[H][C@@](CC(C)C)(N=C(O)CN=C(O)C1=C(Cl)C=CC(Cl)=C1)B(O)O,Certain infectious and parasitic diseases,-0.9976883257949403,-0.7912755110164102
127,NCT02181660,CCC1=C(NC2CCOCC2)N=C(NC2=CC=C(N3CCC(CC3)N3CCN(C)CC3)C(OC)=C2)C(=N1)C(N)=O,others,-0.47151992028986706,1.2853350570316495
128,NCT02183675,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,Factors influencing health status and contact with health services,-0.3772125944787142,-0.08960589132702033
129,NCT02186834,FC(F)(F)C1=CC(=CC(=C1)C1=NN(\C=C/C(=O)NNC2=NC=CN=C2)C=N1)C(F)(F)F,others,-1.2557696095099056,-0.5476371471772744
130,NCT02187094,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,Diseases of the digestive system,5.463519278873624,-0.21983167166465592
131,NCT02188264,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,Neoplasms,-0.5504387324806888,0.14380113751066625
132,NCT02189109,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Diseases of the skin and subcutaneous tissue,-1.143402874284805,-1.5564084966655338
